tournament,player,team,buzz_position,value,answer,category,question_number,round
2025 ACF Nationals,Liam Starnes,Chicago B,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Julian Bushlow,Cornell B,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Andrew Wang,Illinois A,95,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Alex Akridge,Indiana,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Maude-Sophie Lockman,Ottawa,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,June Yin,WUSTL B,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Joel Miles,Minnesota,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Ryan Rosenberg,NYU,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Rasheeq Azad,North Carolina A,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Sharath Narayan,Northwestern,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Simon Zimmerman,Ohio State,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Michał Gerasimiuk,Stanford,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Jisoo Yoo,Texas,15,-5,insomnia,Science - Biology,1,1
2025 ACF Nationals,Bryan Ugaz,Arizona State,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Derek Chen,Columbia B,95,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Jason Zhang,Toronto C,135,0,insomnia,Science - Biology,1,1
2025 ACF Nationals,Mitch McCullar,Penn State,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Kevin Wang,Georgia Tech,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Shiva Tegulla,UCF,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Richard Niu,Cornell A,121,-5,insomnia,Science - Biology,1,1
2025 ACF Nationals,Alan Wu,Vanderbilt,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Caleb Ott,Waterloo B,92,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Henry Bon,Winona State,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Conor Thompson,Iowa State,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Ezra Santos,Chicago B,104,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Arjun Kala,Illinois B,104,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Michael Hunding,Illinois A,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Biniam Alaro,Florida,111,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Albert Yingzhi Nyang,LSE,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Aryan Desarapu,Michigan,124,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Joel Miles,Minnesota,95,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Ryan Rosenberg,NYU,122,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Jonathan Shauf,North Carolina A,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Anuttam Ramji,UC Berkeley B,95,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Sinecio Morales,Johns Hopkins,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Noah Chin,Virginia Tech,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Jisoo Yoo,Texas,107,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Benjamin Chapman,Toronto A,103,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Parth Jagtap,Toronto C,104,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Swapnil Garg,UC Berkeley A,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,103,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Nathan Zhang,Cornell A,103,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Rayton Lin,Waterloo B,108,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Henry Bon,Winona State,85,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Alan Xie,Yale,130,-5,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Conor Thompson,Iowa State,141,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Liam Starnes,Chicago B,152,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Yash Mandavia,Illinois B,140,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Akshar Goyal,Illinois A,109,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Jakob Myers,Indiana,90,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Andy Huff,LSE,56,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,June Yin,WUSTL B,109,-5,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Aryan Desarapu,Michigan,155,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Shardul Rao,Minnesota,83,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Ryan Rosenberg,NYU,125,-5,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Chris Scheri,RIT,140,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Michael Kearney,Harvard,125,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Chris Sims,Northwestern,152,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Simon Zimmerman,Ohio State,109,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Andrew Zeng,Stanford,83,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Skand Parvatikar,Arizona State,140,10,k’uhul ajaw,Any History,3,1
